ip,port,country,anonymity,https,speed
167.71.109.148,80,US,1,false,208
66.85.128.252,8080,US,1,false,340
41.76.145.136,443,ZA,1,false,276
167.71.163.205,80,US,1,false,157
20.219.182.59,3129,US,2,false,199
64.226.123.71,8080,US,1,false,238
157.245.83.143,80,US,1,false,297
206.189.114.56,80,GB,1,false,137
5.161.94.107,8080,US,1,false,291
5.161.220.140,8080,US,1,false,201
64.225.8.121,9980,US,3,false,240
124.198.11.101,12425,KR,3,false,280
49.12.187.177,8080,DE,1,false,395
104.248.68.190,80,US,1,false,104
107.152.32.24,8080,US,1,false,339
64.225.4.29,9497,US,3,false,91
68.183.40.124,80,GB,1,false,206
157.245.138.117,80,US,1,false,165
103.168.44.167,9191,ID,1,false,211
89.58.48.220,20746,DE,3,false,289
66.206.32.162,3128,US,1,false,160
46.17.107.143,40001,US,3,false,232
8.209.114.72,3129,DE,3,false,126
18.143.215.49,80,SG,3,false,228
64.227.0.187,8080,US,1,false,97
5.161.213.21,8080,US,1,false,103
161.35.6.211,80,US,1,false,320
95.217.176.71,8080,FI,1,false,98
67.205.151.229,8080,US,1,false,238
157.245.131.71,80,US,1,false,346
165.227.186.139,80,US,1,false,95
31.220.89.24,8080,ES,1,false,381
24.199.92.0,8080,US,1,false,376
138.197.88.153,80,US,1,false,145
112.137.142.8,3128,VN,1,false,328
67.205.151.226,8080,US,1,false,155
176.95.54.202,83,DE,2,false,365
68.183.51.120,80,US,1,false,228
95.217.217.194,8080,FI,1,false,177
178.128.43.9,80,GB,1,false,366
164.92.178.83,8080,US,1,false,241
31.186.241.8,8888,GB,1,false,374
67.205.149.241,8080,US,1,false,144
45.79.189.66,80,US,1,false,344
3.132.30.131,80,US,1,false,293
34.150.148.229,80,US,3,false,261
104.248.57.192,8080,US,1,false,276
68.183.143.119,80,US,1,false,345
172.105.151.195,80,US,1,false,209
66.85.128.252,8080,US,3,true,201
24.199.84.149,8080,US,3,true,349
116.197.132.168,8989,ID,3,true,351
20.219.182.59,3129,US,3,true,312
64.226.123.71,8080,US,3,true,185
200.30.138.54,3128,SV,3,true,241
5.161.94.107,8080,US,3,true,230
5.161.119.106,8080,US,3,true,130
213.52.102.66,80,NO,3,true,93
5.161.220.140,8080,US,3,true,131
49.12.187.177,8080,DE,3,true,392
107.152.32.24,8080,US,3,true,210
103.168.44.167,9191,ID,3,true,212
64.226.110.184,45212,US,3,true,251
66.206.32.162,3128,US,3,true,269
46.17.107.143,40001,US,3,true,325
213.52.102.36,80,NO,3,true,106
8.209.114.72,3129,DE,3,true,334
47.90.82.199,3128,HK,3,true,193
158.69.73.79,9300,CA,3,true,358
64.227.0.187,8080,US,3,true,139
213.52.102.35,80,NO,3,true,367
190.247.93.231,8080,AR,3,true,179
95.217.176.71,8080,FI,3,true,200
67.205.151.229,8080,US,3,true,210
213.52.102.8,80,NO,3,true,152
24.199.92.0,8080,US,3,true,251
101.251.204.174,8080,CN,3,true,195
178.128.150.93,8080,US,3,true,92
67.205.151.226,8080,US,3,true,267
112.137.142.8,3128,VN,3,true,98
41.76.145.136,8080,ZA,3,true,172
154.70.107.81,3128,CM,3,true,319
176.95.54.202,83,DE,3,true,93
103.6.52.35,3128,ID,3,true,359
95.217.217.194,8080,FI,3,true,216
102.38.15.224,8080,LY,3,true,381
72.87.240.123,3128,US,3,true,153
47.242.3.214,8081,HK,3,true,311
31.186.241.8,8888,GB,3,true,144
67.205.149.241,8080,US,3,true,124
104.248.57.192,8080,US,3,true,327
159.223.120.149,8080,US,1,false,
190.119.86.66,999,PE,2,false,2869
200.123.15.253,999,PE,2,false,6488
147.139.168.187,3128,US,2,false,2699
201.184.24.13,999,CO,2,false,1613
202.133.53.35,83,IN,2,false,3074
65.21.106.116,8080,US,2,false,8193
65.109.238.201,8080,US,2,false,93
65.109.4.126,8080,US,2,false,3161
134.209.222.206,8080,US,2,false,8388
107.148.193.162,1080,US,3,false,1348
136.243.55.199,3128,DE,2,false,249
157.245.27.9,3128,US,2,false,4617
173.249.37.15,8080,DE,2,false,725
167.235.204.206,8080,US,2,false,2245
51.81.24.36,3128,FR,3,false,266
135.148.28.56,3128,US,3,true,
3.36.130.175,80,KR,3,true,
115.96.208.124,8080,IN,3,true,
8.219.97.248,80,SG,2,true,
103.155.64.224,8181,ID,1,false,
144.217.131.61,3148,CA,2,true,
192.99.182.243,3128,CA,2,true,
